Referans,2023 Liste Fiyatı,Para Birimi
METSEPM5350PB,13294,TL
BLRCH417A500B40,8058,TL
METSECAB10,3196,TL
METSEPMAK,9078,TL
BLRCH169A203B44,4386,TL
BLRCH315A378B44,6732,TL
BLRCH335A401B44,6936,TL
METSEPM8213,62900,TL
METSEPM8214,81600,TL
BLRCH136A163B48,4386,TL
BLRCH144A173B48,4556,TL
BLRCH172A206B52,5848,TL
BLRCH125A150B52,4930,TL
BLRCH150A180B52,5610,TL
BLRCH309A371B52,7582,TL
BLRCH120A144B57,6460,TL
BLRCH150A180B57,7820,TL
BLRCH292A350B57,10132,TL
BLRCH208A250B60,8296,TL
BLRCH125A150B69,7616,TL
BLRCH138A165B69,8296,TL
BLRCH150A180B69,8738,TL
BLRCH200A240B69,8976,TL
BLRCH276A331B69,10608,TL
METSEDM6000HCL10NC,2482,TL
METSEDM6200HCL10RS,3196,TL
METSEPM1120HCL10RS,4760,TL
METSEPM5350,12070,TL
LVCT00202S,8840,TL
LVCT20050S,4760,TL
BLRCS186A223B48,4624,TL
BLRCS288A346B48,5814,TL
BLRCS125A150B48,3400,TL
BLRCS208A250B48,5015,TL
BLRCS125A150B52,3842,TL
BLRCS154A185B52,4250,TL
BLRCS250A300B52,5304,TL
BLRCS258A310B48,5100,TL
A9MEM2135,12240,TL
BLRCSM008A010B40,663,TL
BLRCSM025A030B40,969,TL
BLRCSM030A036B40,1071,TL
BLRCSM042A050B40,1207,TL
BLRCSM042A050B44,1258,TL
BLRCSM045A054B40,1360,TL
BLRCSM076A091B40,2108,TL
BLRCSM083A100B40,2261,TL
BLRCSM151A181B40,3672,TL
BLRCSM225A270B40,4726,TL
BLRCSM302A362B40,6018,TL
BLRCSM015A018B40,765,TL
A9MEM3455,11118,TL
LVCT00050S,2720,TL
BLRCS063A075B40,1581,TL
BLRCS020A024B40,1224,TL
BLRCS030A036B40,1434.8,TL
BLRCS042A050B40,1530,TL
BLRCS083A100B40,1927.8,TL
BLRCH025A030B40,1955,TL
BLRCH030A036B40,1955,TL
BLRCH063A075B40,2312,TL
BLRCH083A100B40,2533,TL
BLRCS030A036B44,1734,TL
BLRCS042A050B48,2091,TL
BLRCS067A080B48,2329,TL
BLRCS075A090B48,2369.8,TL
BLRCS104A125B48,3111,TL
BLRCH042A050B48,3502,TL
BLRCH050A060B48,3706,TL
BLRCH104A125B48,4250,TL
A9MEM2150,12410,TL
A9MEM2155,12580,TL
BLRCS182A218B44,3740,TL
A9XMBP02,612,TL
A9XMZA08,20060,TL
A9MEM1520,5916,TL
A9MEM1521,5916,TL
A9MEM1522,5916,TL
A9MEM1540,8670,TL
A9MEM1541,8670,TL
A9MEM1542,8670,TL
16080,238,TL
15209,3604,TL
BLRCS050A060B52,2652,TL
BLRCS106A127B52,3536,TL
METSEPM5563RD,31178,TL
METSEPM89M0024,25432,TL
METSEPM89M2600,13090,TL
16006,119,TL
BLRCH344A413B52,7820,TL
METSEPM5RD,8568,TL
BLRCH400A480B44,7616,TL
EGX150,20570,TL
A9MEM3135,7684,TL
METSEPM2110,6222,TL
METSEPM2120,7038,TL
METSEPM2130,7038,TL
METSEPM2210,7616,TL
METSEPM2KDGTLIO22,2057,TL
METSEPM2KANLGIO22,2533,TL
METSEPM2KANLGIO11,2108,TL
VPL06N,12002,TL
VPL12N,12716,TL
BLRCH180A216B48,6358,TL
A9MEM3350,12240,TL
BLRCH171A205B83,9214,TL
LVR07250A69T,18224,TL
